ID;country;cont;capital;population
http://www.wikidata.org/entity/Q1041;Senegal;Africa;Dakar;14133280
http://www.wikidata.org/entity/Q1042;Seychelles;Africa;Victoria;92000
http://www.wikidata.org/entity/Q1044;Sierra Leone;Africa;Freetown;6092075
http://www.wikidata.org/entity/Q1045;Somalia;Africa;Mogadishu;10495583
http://www.wikidata.org/entity/Q1049;Sudan;Africa;Khartoum;40235000
http://www.wikidata.org/entity/Q1050;Swaziland;Africa;Mbabane;1249514
http://www.wikidata.org/entity/Q1246;Kosovo;Europe;Pristina;1883018
http://www.wikidata.org/entity/Q25230;Guernsey;Europe;Saint Peter Port;65345
http://www.wikidata.org/entity/Q258;South Africa;Africa;Pretoria;55445000
http://www.wikidata.org/entity/Q262;Algeria;Africa;Algiers;38813722
http://www.wikidata.org/entity/Q265;Uzbekistan;Asia;Tashkent;31576400
http://www.wikidata.org/entity/Q26988;Cook Islands;Oceania;Avarua;21000
http://www.wikidata.org/entity/Q298;Chile;South America;Santiago;17619708
http://www.wikidata.org/entity/Q29999;Kingdom of the Netherlands;Europe;Amsterdam;17100715
http://www.wikidata.org/entity/Q334;Singapore;Asia;Singapore;5888926
http://www.wikidata.org/entity/Q34020;Niue;Oceania;Alofi;1612
http://www.wikidata.org/entity/Q347;Liechtenstein;Europe;Vaduz;37468
http://www.wikidata.org/entity/Q398;Bahrain;Asia;Manama;1332171
http://www.wikidata.org/entity/Q399;Armenia;Asia;Yerevan;2976566
http://www.wikidata.org/entity/Q403;Serbia;Europe;Belgrade;7041599
http://www.wikidata.org/entity/Q40362;Sahrawi Arab Democratic Republic;Africa;Laayoune;502585
http://www.wikidata.org/entity/Q408;Australia;Oceania;Canberra;23401892
http://www.wikidata.org/entity/Q414;Argentina;South America;Buenos Aires;43417000
http://www.wikidata.org/entity/Q419;Peru;South America;Lima;30375603
http://www.wikidata.org/entity/Q423;North Korea;Asia;Pyongyang;24895480
http://www.wikidata.org/entity/Q424;Cambodia;Asia;Phnom Penh;15135169
http://www.wikidata.org/entity/Q574;East Timor;Asia;Dili;1180069
http://www.wikidata.org/entity/Q6250;Western Sahara;Africa;Laayoune;586000
http://www.wikidata.org/entity/Q657;Chad;Africa;N'Djamena;12825314
http://www.wikidata.org/entity/Q664;New Zealand;Oceania;Wellington;4793700
http://www.wikidata.org/entity/Q668;India;Asia;New Delhi;1339180127
http://www.wikidata.org/entity/Q672;Tuvalu;Oceania;Funafuti;9876
http://www.wikidata.org/entity/Q678;Tonga;Oceania;Nuku'alofa;105323
http://www.wikidata.org/entity/Q683;Samoa;Oceania;Apia;190372
http://www.wikidata.org/entity/Q685;Solomon Islands;Oceania;Honiara;561231
http://www.wikidata.org/entity/Q686;Vanuatu;Oceania;Port Vila;252763
http://www.wikidata.org/entity/Q691;Papua New Guinea;Oceania;Port Moresby;7321262
http://www.wikidata.org/entity/Q695;Palau;Oceania;Ngerulmud;20918
http://www.wikidata.org/entity/Q697;Nauru;Oceania;Yaren District;10084
http://www.wikidata.org/entity/Q702;Federated States of Micronesia;Oceania;Palikir;103549
http://www.wikidata.org/entity/Q709;Marshall Islands;Oceania;Majuro;52634
http://www.wikidata.org/entity/Q710;Kiribati;Oceania;South Tarawa;102351
http://www.wikidata.org/entity/Q711;Mongolia;Asia;Ulaanbaatar;3081678
http://www.wikidata.org/entity/Q712;Fiji;Oceania;Suva;881065
http://www.wikidata.org/entity/Q717;Venezuela;South America;Caracas;30405207
http://www.wikidata.org/entity/Q730;Suriname;South America;Paramaribo;539276
http://www.wikidata.org/entity/Q733;Paraguay;South America;Asunción;6802295
http://www.wikidata.org/entity/Q734;Guyana;South America;Georgetown;799613
http://www.wikidata.org/entity/Q736;Ecuador;South America;Quito;15737878
http://www.wikidata.org/entity/Q739;Colombia;South America;Bogotá;47704427
http://www.wikidata.org/entity/Q750;Bolivia;South America;La Paz;10671200
http://www.wikidata.org/entity/Q754;Trinidad and Tobago;North America;Port of Spain;1341151
http://www.wikidata.org/entity/Q757;Saint Vincent and the Grenadines;South America;Kingstown;109373
http://www.wikidata.org/entity/Q760;Saint Lucia;North America;Castries;182273
http://www.wikidata.org/entity/Q763;Saint Kitts and Nevis;North America;Basseterre;54191
http://www.wikidata.org/entity/Q766;Jamaica;North America;Kingston;2950210
http://www.wikidata.org/entity/Q769;Grenada;North America;St. George's;105897
http://www.wikidata.org/entity/Q774;Guatemala;North America;Guatemala City;15468203
http://www.wikidata.org/entity/Q778;The Bahamas;North America;Nassau;377374
http://www.wikidata.org/entity/Q781;Antigua and Barbuda;North America;St. John's;89985
http://www.wikidata.org/entity/Q783;Honduras;North America;Tegucigalpa;8097688
http://www.wikidata.org/entity/Q784;Dominica;North America;Roseau;72003
http://www.wikidata.org/entity/Q785;Jersey;Europe;Saint Helier;100080
http://www.wikidata.org/entity/Q786;Dominican Republic;North America;Santo Domingo;10403761
http://www.wikidata.org/entity/Q790;Haiti;North America;Port-au-Prince;10317461
http://www.wikidata.org/entity/Q792;El Salvador;North America;San Salvador;6340454
http://www.wikidata.org/entity/Q794;Iran;Asia;Tehran;77447168
http://www.wikidata.org/entity/Q796;Iraq;Asia;Baghdad;33417476
http://www.wikidata.org/entity/Q800;Costa Rica;North America;San José;4872166
http://www.wikidata.org/entity/Q801;Israel;Asia;Jerusalem;8796200
http://www.wikidata.org/entity/Q804;Panama;South America;Panama City;3864170
http://www.wikidata.org/entity/Q805;Yemen;Asia;Sana'a;26183676
http://www.wikidata.org/entity/Q810;Jordan;Asia;Amman;9813095
http://www.wikidata.org/entity/Q811;Nicaragua;North America;Managua;6080478
http://www.wikidata.org/entity/Q813;Kyrgyzstan;Asia;Bishkek;6000000
http://www.wikidata.org/entity/Q817;Kuwait;Asia;Kuwait City;4660000
http://www.wikidata.org/entity/Q819;Laos;Asia;Vientiane;6769727
http://www.wikidata.org/entity/Q822;Lebanon;Asia;Beirut;4467390
http://www.wikidata.org/entity/Q826;Maldives;Asia;Malé;345023
http://www.wikidata.org/entity/Q833;Malaysia;Asia;Kuala Lumpur;29716965
http://www.wikidata.org/entity/Q836;Myanmar;Asia;Naypyidaw;53259018
http://www.wikidata.org/entity/Q837;Nepal;Asia;Kathmandu;30986975
http://www.wikidata.org/entity/Q842;Oman;Asia;Muscat;3632444
http://www.wikidata.org/entity/Q843;Pakistan;Asia;Islamabad;182142594
http://www.wikidata.org/entity/Q846;Qatar;Asia;Doha;2168673
http://www.wikidata.org/entity/Q851;Saudi Arabia;Asia;Riyadh;28828870
http://www.wikidata.org/entity/Q854;Sri Lanka;Asia;Colombo;20277597
http://www.wikidata.org/entity/Q858;Syria;Asia;Damascus;22845550
http://www.wikidata.org/entity/Q863;Tajikistan;Asia;Dushanbe;8610000
http://www.wikidata.org/entity/Q865;Taiwan;Asia;Taipei;23508362
http://www.wikidata.org/entity/Q869;Thailand;Asia;Bangkok;65931550
http://www.wikidata.org/entity/Q874;Turkmenistan;Asia;Ashgabat;5125693
http://www.wikidata.org/entity/Q878;United Arab Emirates;Asia;Abu Dhabi;9346129
